Year,Quarter,Month,tourists万人次,revenue亿元,inbound万人次,inbound_万美元,source
2022,1,-,1493.77,192.68,0.14,42.29,国内季度+入境月度
2022,2,-,3223.23,373.77,0.25,82.89,由累计差值推算
2022,3,-,3528.72,418.94,1.22,473.26,由累计差值推算
2022,4,-,2447.42,292.00,0.80,239.89,由年度累计减前三季度推算
2022,-,-,10693.14,1277.39,2.41,755.31,桂林市文旅局年度累计
2022入境,1,1-2,-,-,0.11,32.50,桂林市文旅局月度累计
2022入境,1,3,-,-,0.03,9.79,由累计差值推算(1-3月减1-2月)
2022入境,2,4,-,-,0.04,16.50,由累计差值推算(1-4月减1-3月)
2022入境,2,5,-,-,0.07,22.37,由累计差值推算(1-5月减1-4月)
2022入境,2,6,-,-,0.14,44.02,由累计差值推算(1-6月减1-5月)
2022入境,3,7,-,-,0.47,158.67,由累计差值推算(1-7月减1-6月)
2022入境,3,8,-,-,0.42,125.06,由累计差值推算(1-8月减1-7月)
2022入境,3,9,-,-,0.33,106.51,由累计差值推算(1-9月减1-8月)
2022入境,4,10,-,-,0.66,196.56,由累计差值推算(1-10月减1-9月)
2022入境,4,11,-,-,0.05,14.98,由累计差值推算(1-11月减1-10月)
2022入境,4,12,-,-,0.09,28.35,由累计差值推算(1-12月减1-11月)
