Year,Quarter,Month,tourists万人次,revenue亿元,source
2019,1,1,927.96,105.46,由1-2月累计减2月推算
2019,1,2,929.07,111.46,桂林市旅游局月度统计
2019,1,3,577.52,126.29,桂林市旅游局月度统计
2019,1,-,2434.55,343.21,桂林市旅游局Q1累计
2019,2,4,1177.17,152.87,桂林市旅游局月度统计
2019,2,5,1056.17,122.38,桂林市旅游局月度统计
2019,2,6,1471.26,230.37,桂林市旅游局月度统计
2019,2,-,3704.60,505.62,桂林市旅游局Q2累计
2019,3,7,1300.19,171.74,桂林市旅游局月度统计
2019,3,8,1372.96,174.37,桂林市旅游局月度统计
2019,3,9,1639.97,236.88,桂林市旅游局月度统计
2019,3,-,4313.12,582.99,桂林市旅游局Q3累计
2019,4,10,848.98,96.12,桂林市旅游局月度统计
2019,4,11,725.63,82.48,桂林市旅游局月度统计
2019,4,12,1806.79,257.80,由年度累计减1-11月推算
2019,4,-,3381.40,436.40,桂林市旅游局Q4累计
2019,-,-,13833.66,1874.25,桂林市旅游局全年累计
