Year,Month,tourists,revenue,Tavg,Tmax,Tmin,rain_days,hot_days,cold_days,CCI
2013,1,171.25,13.12,11.53225806451613,14.580645161290322,8.483870967741936,15,0,6,31.599218461737014
2013,2,268.15,23.33,13.875,17.535714285714285,10.214285714285714,14,0,1,46.4330625668127
2013,3,222.26,23.09,17.274193548387096,20.548387096774192,14.0,24,0,0,64.99959829809583
2013,4,277.66,24.26,20.9,23.6,18.2,20,0,0,82.61758150982779
2013,5,296.37,26.66,25.161290322580644,28.06451612903226,22.258064516129032,22,0,0,72.51793500451927
2013,6,324.41,34.54,29.3,33.03333333333333,25.566666666666666,15,7,0,42.25332332150479
2013,7,384.13,34.14,30.29032258064516,34.45161290322581,26.129032258064516,7,15,0,34.31754500491144
2013,8,399.75,35.31,27.580645161290324,31.032258064516128,24.129032258064516,19,6,0,56.047515064569154
2013,9,346.85,37.54,26.0,30.4,21.6,3,3,0,70.57068655300164
2013,10,358.55,36.96,20.161290322580644,24.29032258064516,16.032258064516128,8,0,0,85.50850225458963
2013,11,318.15,32.32,14.6,18.4,10.8,7,0,0,44.45278930468146
2013,12,216.64,27.21,9.274193548387096,12.741935483870968,5.806451612903226,9,0,16,19.959071190486064
2014,1,185.17,15.68,10.983870967741936,15.129032258064516,6.838709677419355,10,0,16,34.60050074185754
2014,2,249.99,27.15,10.0,12.428571428571429,7.571428571428571,21,0,6,19.671478243141006
2014,3,281.38,27.96,18.193548387096776,20.967741935483872,15.419354838709678,29,0,0,70.66372794697925
2014,4,318.65,32.44,20.95,23.966666666666665,17.933333333333334,20,0,0,86.17610098902745
2014,5,315.42,32.02,26.161290322580644,29.322580645161292,23.0,24,0,0,69.60768950622008
2014,6,317.51,31.75,28.666666666666668,32.03333333333333,25.3,19,6,0,47.72817223220093
2014,7,441.39,44.35,29.693548387096776,33.83870967741935,25.548387096774192,18,12,0,38.85366254997667
2014,8,479.86,50.04,28.419354838709676,32.25806451612903,24.580645161290324,15,6,0,50.49612054052449
2014,9,391.53,48.31,26.0,30.4,21.6,5,0,0,74.68930161120589
2014,10,408.08,46.58,20.596774193548388,24.225806451612904,16.967741935483872,11,0,0,75.75052494892599
2014,11,236.57,29.42,14.166666666666666,17.266666666666666,11.066666666666666,10,0,1,46.28149934860427
2014,12,245.61,32.88,10.32258064516129,14.870967741935484,5.774193548387097,8,0,12,20.644532466882428
2015,1,203.41,18.69,10.0,13.451612903225806,6.548387096774194,9,0,10,23.654507125534074
2015,2,273.17,29.83,12.553571428571429,15.178571428571429,9.928571428571429,26,0,2,33.03637117300887
2015,3,304.11,33.87,18.306451612903224,21.419354838709676,15.193548387096774,18,0,0,62.736470055089974
2015,4,378.61,41.46,22.633333333333333,26.566666666666666,18.7,18,0,0,89.38487564743882
