Year,Quarter,Month,tourists万人次,revenue亿元,inbound万人次,inbound_万美元,source
2021,1,-,1814.36,232.61,0.61,208.99,国内季度+入境季度
2021,2,-,4148.21,500.33,1.59,608.15,由累计差值推算
2021,3,-,3977.18,497.93,1.19,467.56,由累计差值推算
2021,4,-,2295.13,270.92,0.87,286.19,由年度累计减前三季度推算
2021,-,-,12234.88,1501.79,4.26,1570.90,桂林市文旅局年度累计
2021入境,1,1-2,-,-,0.27,92.15,桂林市文旅局月度累计(1-2月合并)
2021入境,1,3,-,-,0.34,116.84,由累计差值推算(1-3月减1-2月)
2021入境,2,4,-,-,0.70,264.49,由累计差值推算(1-4月减1-3月)
2021入境,2,5,-,-,0.51,184.11,由累计差值推算(1-5月减1-4月)
2021入境,2,6,-,-,0.38,159.55,由累计差值推算(1-6月减1-5月)
2021入境,3,7,-,-,0.76,310.26,由累计差值推算(1-7月减1-6月)
2021入境,3,8,-,-,0.16,58.47,由累计差值推算(1-8月减1-7月)
2021入境,3,9,-,-,0.27,98.84,由累计差值推算(1-9月减1-8月)
2021入境,4,10,-,-,0.48,153.01,由累计差值推算(1-10月减1-9月)
2021入境,4,11,-,-,0.18,60.99,由累计差值推算(1-11月减1-10月)
2021入境,4,12,-,-,0.21,72.19,由累计差值推算(1-12月减1-11月)
