Year,Quarter,Month,tourists万人次,revenue亿元,inbound万人次,inbound_万美元,source
2024,1,-,3262.11,414.87,9.65,5325.39,国内季度+入境月度
2024,2,-,4505.23,521.94,27.88,9294.89,由累计差值推算
2024,3,-,4717.73,588.95,19.34,8487.14,由累计差值推算
2024,4,-,3077.78,374.12,42.94,16231.88,由年度累计减前三季度推算
2024,-,-,15562.85,1899.88,100.81,39339.29,桂林市文旅局年度累计
2024入境,1,1-2,-,-,3.01,-,桂林市文旅局月度累计(外汇1-2月无数据)
2024入境,1,3,-,-,6.64,5325.39,由累计差值推算(1-3月减1-2月)
2024入境,2,4,-,-,14.08,3711.72,由累计差值推算(1-4月减1-3月)
2024入境,2,5,-,-,7.84,3225.75,由累计差值推算(1-5月减1-4月)
2024入境,2,6,-,-,5.96,2357.42,由累计差值推算(1-6月减1-5月)
2024入境,3,7,-,-,4.77,1954.99,由累计差值推算(1-7月减1-6月)
2024入境,3,8,-,-,6.48,2685.06,由累计差值推算(1-8月减1-7月)
2024入境,3,9,-,-,9.34,3847.08,由累计差值推算(1-9月减1-8月)
2024入境,4,10,-,-,13.94,5651.89,由累计差值推算(1-10月减1-9月)
2024入境,4,11,-,-,14.83,6267.21,由累计差值推算(1-11月减1-10月)
2024入境,4,12,-,-,13.92,4312.78,由累计差值推算(1-12月减1-11月)
