Year,tourists,revenue,CCI,Tavg,rain_days
2013,3584.17,348.48,54.273069044561396,20.49576612903226,163
2014,3871.16,418.58,52.93027592712883,20.3461917562724,190
2015,4469.95,517.33,56.35683465726448,20.07260944700461,191
2016,5385.87,637.37,53.202558061295115,20.70282258064516,161
2017,1593.6499999999999,183.3,49.7928665471154,14.751254480286738,21
2018,10915.33,1391.75,53.45483835325202,20.508045314900155,182
2019,13833.67,1868.22,51.04976449631628,21.049036738351255,170
