Year,Quarter,Month,tourists万人次,revenue亿元,source
2014,1,1,185.17,15.68,桂林市旅游局月度统计
2014,1,2,249.99,27.15,桂林市旅游局月度统计
2014,1,3,281.38,27.96,桂林市旅游局月度统计
2014,1,-,716.54,70.79,桂林市旅游局Q1累计
2014,2,4,318.65,32.44,桂林市旅游局月度统计
2014,2,5,315.42,32.02,桂林市旅游局月度统计
2014,2,6,317.51,31.75,桂林市旅游局月度统计
2014,2,-,951.58,96.21,桂林市旅游局Q2累计(1-6月减1-3月)
2014,3,7,441.39,44.35,桂林市旅游局月度统计
2014,3,8,479.86,50.04,桂林市旅游局月度统计
2014,3,9,391.53,48.31,桂林市旅游局月度统计
2014,3,-,1312.78,142.69,桂林市旅游局Q3累计(1-9月减1-6月)
2014,4,10,408.08,46.58,桂林市旅游局月度统计
2014,4,11,236.57,29.42,桂林市旅游局月度统计
2014,4,12,245.61,32.88,桂林市旅游局月度统计
2014,4,-,890.26,110.61,桂林市旅游局Q4累计(1-12月减1-9月)
2014,-,-,3871.16,420.30,桂林市旅游局全年累计
