Year,Quarter,Month,tourists万人次,revenue亿元,source
2015,1,1,203.41,18.69,桂林市旅游局月度统计
2015,1,2,273.17,29.83,桂林市旅游局月度统计
2015,1,3,304.11,33.87,桂林市旅游局月度统计
2015,1,-,780.69,82.39,桂林市旅游局Q1累计
2015,2,4,378.61,41.46,桂林市旅游局月度统计
2015,2,5,381.79,43.56,桂林市旅游局月度统计
2015,2,6,339.58,39.23,桂林市旅游局月度统计
2015,2,-,1099.98,124.25,桂林市旅游局Q2累计
2015,3,7,464.87,53.37,桂林市旅游局月度统计
2015,3,8,480.77,54.80,桂林市旅游局月度统计
2015,3,9,409.34,47.50,桂林市旅游局月度统计
2015,3,-,1354.98,155.67,桂林市旅游局Q3累计
2015,4,10,462.98,52.81,桂林市旅游局月度统计
2015,4,11,255.11,29.66,桂林市旅游局月度统计
2015,4,12,516.21,72.55,由年度累计反推
2015,4,-,1234.30,155.02,桂林市旅游局Q4累计(全年减前三季度)
2015,-,-,4469.95,517.33,桂林市旅游局全年累计
