Year,Quarter,Month,tourists万人次,revenue亿元,source
2018,1,1,894.56,101.72,桂林市旅游局月度累计
2018,1,2,710.69,81.94,由累计差值推算
2018,1,3,348.65,73.35,由累计差值推算
2018,1,-,1953.89,257.01,桂林市旅游局Q1累计
2018,2,4,920.88,101.60,由累计差值推算
2018,2,5,867.49,103.55,由累计差值推算
2018,2,6,1058.10,142.00,由累计差值推算
2018,2,-,2846.47,347.15,桂林市旅游局Q2累计
2018,3,7,987.74,124.32,由累计差值推算
2018,3,8,1044.10,132.18,由累计差值推算
2018,3,9,1164.95,151.54,由累计差值推算
2018,3,-,3196.79,408.04,桂林市旅游局Q3累计
2018,4,10,764.75,97.85,由累计差值推算
2018,4,11,614.96,77.73,由累计差值推算
2018,4,12,1538.46,203.97,由累计差值推算
2018,4,-,2918.17,379.55,桂林市旅游局Q4累计
2018,-,-,10915.31,1391.75,桂林市旅游局全年累计
