raw_date,tmax,tmin,day_weather,night_weather,wind_dir,wind_power,Tmax,Tmin,Date,Year,Month,Quarter,Tavg,S_temp,S_weather,S_wind,CCI,SI,SI_score,CCI_owci,CCI_level,SI_level,OWCI_level,CCI_9ma,OWCI_9ma
46057,17 ℃,8 ℃,多云,晴,南风,微风,17.0,8.0,2011-01-24,2011,1,1,12.5,0.2010011912257319,0.975,1.0,27.470842102224708,9.32,48.6784140969163,59.02581178986818,4-较不舒适,4-较不舒适,3-正常,,
46058,22 ℃,10 ℃,晴,晴,南风,微风,22.0,10.0,2011-01-25,2011,1,1,16.0,0.5272924240430485,1.0,1.0,54.92169103166668,6.94,61.78414096916299,73.75256179274787,3-正常,3-正常,2-较舒适,,
46059,22 ℃,9 ℃,多云,多云,南风,微风,22.0,9.0,2011-01-26,2011,1,1,15.5,0.47184199249207454,0.95,1.0,49.644750605171566,7.28,59.91189427312775,69.80998939908525,3-正常,3-正常,3-正常,,
46060,25 ℃,11 ℃,多云,多云,南风,微风,25.0,11.0,2011-01-27,2011,1,1,18.0,0.7524321560893033,0.95,1.0,75.98046208062435,5.58,69.27312775330397,79.93336589509964,2-较舒适,3-正常,2-较舒适,,
46061,23 ℃,14 ℃,多云,多云,南风,微风,23.0,14.0,2011-01-28,2011,1,1,18.5,0.8043041560655723,0.95,1.0,80.96490472659357,5.24,71.1453744493392,85.29781936942493,2-较舒适,3-正常,1-最舒适,,
46062,19 ℃,14 ℃,阴,小雨,南风,微风,19.0,14.0,2011-01-29,2011,1,1,16.5,0.5840446884413829,0.7250000000000001,1.0,59.10970093522394,6.6000000000000005,63.65638766519823,77.20729187692002,3-正常,3-正常,2-较舒适,,
46063,11 ℃,6 ℃,小雨,小雨,北风,微风,11.0,6.0,2011-01-30,2011,1,1,8.5,0.039163895098987066,0.65,1.0,14.354381277623574,12.040000000000001,33.70044052863436,39.97226997263773,5-最不舒适,5-最不舒适,4-较不舒适,,
46064,6 ℃,3 ℃,小雨,小雨,北风,微风,6.0,3.0,2011-01-31,2011,1,1,4.5,0.004320239474094062,0.65,1.0,13.57302676401376,14.760000000000002,18.722466960352406,35.60251694590685,5-最不舒适,5-最不舒适,4-较不舒适,,
46065,8 ℃,3 ℃,小雨,中雨,北风,3-4级,8.0,3.0,2011-02-01,2011,2,1,5.5,0.007907054051593435,0.55,0.65,10.118288663430729,13.205,27.285242290748897,34.6555616042738,5-最不舒适,5-最不舒适,4-较不舒适,,
46066,8 ℃,3 ℃,小雨,阴,北风,微风,8.0,3.0,2011-02-02,2011,2,1,5.5,0.007907054051593435,0.7250000000000001,1.0,14.779648943688063,14.08,22.466960352422902,37.2805616042738,5-最不舒适,5-最不舒适,4-较不舒适,,
