方法,倾向率b(每年),倾向率(每10年),R2
原始序列,-0.02945903469284567,-0.2945903469284567,0.005019136267078123
3年滑动,-0.12781934528201694,-1.2781934528201693,0.15102162206532965
5年滑动,-0.2386482188518495,-2.386482188518495,0.6298942156735956
7年滑动,-0.2273531414469636,-2.273531414469636,0.7811165141522224
9年滑动,-0.13837273521941107,-1.3837273521941107,0.8970681218468568
