Year,Quarter,Month,tourists万人次,revenue亿元,inbound万人次,inbound_万美元,source
2025,1,-,-,-,22.01,-,入境季度+国内数据缺失
2025,2,-,-,-,45.44,-,由累计差值推算
2025,3,-,-,-,22.18,-,"由累计差值推算(1-8月减1-5月,为5-8月)"
2025,4,-,-,-,-,-,待补充
2025,-,-,17500.00,2175.47,-,-,年度估算值(国内+入境)
